depth (m abs)	year
2.147	1800.100761
2.148	1800.099994
2.149	1800.099228
2.15	1800.098462
2.151	1800.097696
2.152	1800.09693
2.153	1800.096164
2.154	1800.095398
2.155	1800.094632
2.156	1800.093865
2.157	1800.0931
2.158	1800.092334
2.159	1800.091568
2.16	1800.090802
2.161	1800.090036
2.162	1800.08927
2.163	1800.088504
2.164	1800.087737
2.165	1800.086971
2.166	1800.086205
2.167	1800.085439
2.168	1800.084674
2.169	1800.083908
2.17	1800.083142
2.171	1800.082375
2.172	1800.081609
2.173	1800.080843
2.174	1800.080077
2.175	1800.079311
2.176	1800.078545
2.177	1800.077779
2.178	1800.077013
2.179	1800.076247
2.18	1800.075481
2.181	1800.074715
2.182	1800.073949
2.183	1800.073183
2.184	1800.072417
2.185	1800.071651
2.186	1800.070885
2.187	1800.070118
2.188	1800.069352
2.189	1800.068586
2.19	1800.06782
2.191	1800.067054
2.192	1800.066289
2.193	1800.065523
2.194	1800.064757
2.195	1800.06399
2.196	1800.063224
2.197	1800.062458
2.198	1800.061692
2.199	1800.060926
2.2	1800.06016
2.201	1800.059394
2.202	1800.058628
2.203	1800.057861
2.204	1800.057096
2.205	1800.05633
2.206	1800.055564
2.207	1800.054798
2.208	1800.054032
2.209	1800.053266
2.21	1800.052499
2.211	1800.051733
2.212	1800.050967
2.213	1800.050201
2.214	1800.049435
2.215	1800.048669
2.216	1800.047904
2.217	1800.047138
2.218	1800.046371
2.219	1800.045605
2.22	1800.044839
2.221	1800.044073
2.222	1800.043307
2.223	1800.042541
2.224	1800.041775
2.225	1800.041009
2.226	1800.040242
2.227	1800.039476
2.228	1800.038711
2.229	1800.037945
2.23	1800.037179
2.231	1800.036413
2.232	1800.035647
2.233	1800.034881
2.234	1800.034114
2.235	1800.033348
2.236	1800.032582
2.237	1800.031816
2.238	1800.03105
2.239	1800.030284
2.24	1800.029519
2.241	1800.028752
2.242	1800.027986
2.243	1800.02722
2.244	1800.026454
2.245	1800.025688
2.246	1800.024922
2.247	1800.024156
2.248	1800.02339
2.249	1800.022623
2.25	1800.021857
2.251	1800.021091
2.252	1800.020326
2.253	1800.01956
2.254	1800.018794
2.255	1800.018028
2.256	1800.017262
2.257	1800.016495
2.258	1800.015729
2.259	1800.014963
2.26	1800.014197
2.261	1800.013431
2.262	1800.012665
2.263	1800.011899
2.264	1800.011133
2.265	1800.010367
2.266	1800.009601
2.267	1800.008835
2.268	1800.008069
2.269	1800.007303
2.27	1800.006537
2.271	1800.005771
2.272	1800.005005
2.273	1800.004238
2.274	1800.003472
2.275	1800.002706
2.276	1800.001941
2.277	1800.001175
2.278	1800.000409
2.279	1799.999643
2.28	1799.998876
2.281	1799.99811
2.282	1799.997344
2.283	1799.996578
2.284	1799.995812
2.285	1799.995046
2.286	1799.99428
2.287	1799.993514
2.288	1799.992748
2.289	1799.991982
2.29	1799.991216
2.291	1799.99045
2.292	1799.989684
2.293	1799.988918
2.294	1799.988152
2.295	1799.987386
2.296	1799.986619
2.297	1799.985853
2.298	1799.985087
2.299	1799.984321
2.3	1799.983556
2.301	1799.98279
2.302	1799.982024
2.303	1799.981257
2.304	1799.980491
2.305	1799.979725
2.306	1799.978959
2.307	1799.978193
2.308	1799.977427
2.309	1799.976661
2.31	1799.975895
2.311	1799.975129
2.312	1799.974363
2.313	1799.973597
2.314	1799.972831
2.315	1799.972065
2.316	1799.971299
2.317	1799.970533
2.318	1799.969767
2.319	1799.969
2.32	1799.968234
2.321	1799.967468
2.322	1799.966702
2.323	1799.965937
2.324	1799.965171
2.325	1799.964405
2.326	1799.963639
2.327	1799.962872
2.328	1799.962106
2.329	1799.96134
2.33	1799.960574
2.331	1799.959808
2.332	1799.959042
2.333	1799.958276
2.334	1799.95751
2.335	1799.956744
2.336	1799.955978
2.337	1799.955212
2.338	1799.954446
2.339	1799.95368
2.34	1799.952914
2.341	1799.952148
2.342	1799.951381
2.343	1799.950615
2.344	1799.949849
2.345	1799.949083
2.346	1799.948317
2.347	1799.947552
2.348	1799.946786
2.349	1799.94602
2.35	1799.945253
2.351	1799.944487
2.352	1799.943721
2.353	1799.942955
2.354	1799.942189
2.355	1799.941423
2.356	1799.940657
2.357	1799.939891
2.358	1799.939124
2.359	1799.938359
2.36	1799.937593
2.361	1799.936827
2.362	1799.936061
2.363	1799.935295
2.364	1799.934529
2.365	1799.933763
2.366	1799.932996
2.367	1799.93223
2.368	1799.931464
2.369	1799.930698
2.37	1799.929932
2.371	1799.929167
2.372	1799.928401
2.373	1799.927634
2.374	1799.926868
2.375	1799.926102
2.376	1799.925336
2.377	1799.92457
2.378	1799.923804
2.379	1799.923038
2.38	1799.922272
2.381	1799.921505
2.382	1799.920739
2.383	1799.919974
2.384	1799.919208
2.385	1799.918442
2.386	1799.917676
2.387	1799.91691
2.388	1799.916144
2.389	1799.915377
2.39	1799.914611
2.391	1799.913845
2.392	1799.913079
2.393	1799.912313
2.394	1799.911547
2.395	1799.910782
2.396	1799.910015
2.397	1799.909249
2.398	1799.908483
2.399	1799.907717
2.4	1799.906951
2.401	1799.906185
2.402	1799.905419
2.403	1799.904653
2.404	1799.903887
2.405	1799.90312
2.406	1799.902354
2.407	1799.901589
2.408	1799.900823
2.409	1799.900057
2.41	1799.899291
2.411	1799.898525
2.412	1799.897758
2.413	1799.896992
2.414	1799.896226
2.415	1799.89546
2.416	1799.894694
2.417	1799.893928
2.418	1799.893162
2.419	1799.892397
2.42	1799.89163
2.421	1799.890864
2.422	1799.890098
2.423	1799.889332
2.424	1799.888566
2.425	1799.8878
2.426	1799.887034
2.427	1799.886268
2.428	1799.885501
2.429	1799.884735
2.43	1799.883969
2.431	1799.883204
2.432	1799.882438
2.433	1799.881672
2.434	1799.880906
2.435	1799.880139
2.436	1799.879373
2.437	1799.878607
2.438	1799.877841
2.439	1799.877075
2.44	1799.876309
2.441	1799.875543
2.442	1799.874777
2.443	1799.874011
2.444	1799.873245
2.445	1799.872479
2.446	1799.871713
2.447	1799.870947
2.448	1799.870181
